Tesla's vehicle production by quarter Q3 2025,
Number of Tesla vehicles produced worldwide from 1st quarter 2016 to 3rd quarter 2025 (in units),
,
Q1 2016,"15,510"
Q2 2016,"18,345"
Q3 2016,"25,185"
Q4 2016,"24,882"
Q1 2017,"25,418"
Q2 2017,"25,708"
Q3 2017,"25,336"
Q4 2017,"24,565"
Q1 2018,"34,494"
Q2 2018,"53,339"
Q3 2018,"80,142"
Q4 2018,"86,555"
Q1 2019,"77,100"
Q2 2019,"87,048"
Q3 2019,"96,155"
Q4 2019,"104,981"
Q1 2020,"102,672"
Q2 2020,"82,272"
Q3 2020,"145,036"
Q4 2020,"179,757"
Q1 2021,"180,338"
Q2 2021,"206,421"
Q3 2021,"237,823"
Q4 2021,"305,840"
Q1 2022,"305,407"
Q2 2022,"258,580"
Q3 2022,"365,923"
Q4 2022,"439,701"
Q1 2023,"440,808"
Q2 2023,"479,700"
Q3 2023,"430,488"
Q4 2023,"494,989"
Q1 2024,"433,371"
Q2 2024,"410,831"
Q3 2024,"469,796"
Q4 2024,"459,445"
Q1 2025,"362,615"
Q2 2025,"410,244"
Q3 2025,"447,450"
